internal_code,profile_name,alloy,alloy_din,temper,width_mm,height_mm,wall_thickness_mm,profile_type,weight_kg_per_m,standard_lengths_mm,surface_finishes,tolerance_standard,category,edi_pia_code
AE-2024-034,Equal Angle 20x20x2,EN AW-6060,3.3206,T66,20.0,20.0,2.0,angle,0.21,6000|6500,M|AE2,EN 755-9,architectural,AE-2024-034
AE-2024-035,Equal Angle 30x30x3,EN AW-6060,3.3206,T66,30.0,30.0,3.0,angle,0.46,6000|6500,M|AE2|PC7016,EN 755-9,architectural,AE-2024-035
AE-2024-036,Equal Angle 40x40x3,EN AW-6060,3.3206,T66,40.0,40.0,3.0,angle,0.63,6000|6500,M|AE2|PC7016|PC9016,EN 755-9,architectural,AE-2024-036
AE-2024-037,Equal Angle 50x50x4,EN AW-6082,3.2315,T6,50.0,50.0,4.0,angle,1.04,6000|6500,M|AE2|PC7016|PC9005,EN 755-9,structural,AE-2024-037
AE-2024-038,Equal Angle 60x60x5,EN AW-6082,3.2315,T6,60.0,60.0,5.0,angle,1.55,6000|6500,M|PC7016|PC9005,EN 755-9,structural,AE-2024-038
AE-2024-039,Unequal Angle 40x30x3,EN AW-6060,3.3206,T66,40.0,30.0,3.0,angle,0.54,6000|6500,M|AE2,EN 755-9,architectural,AE-2024-039
AE-2024-040,Unequal Angle 60x40x4,EN AW-6082,3.2315,T6,60.0,40.0,4.0,angle,1.04,6000|6500,M|PC7016|PC9005,EN 755-9,structural,AE-2024-040
AE-2024-041,U-Channel 30x20x3,EN AW-6060,3.3206,T66,20.0,30.0,3.0,channel,0.52,6000,M|AE2,EN 755-9,architectural,AE-2024-041
AE-2024-042,U-Channel 40x40x4,EN AW-6060,3.3206,T66,40.0,40.0,4.0,channel,1.21,6000|6500,M|AE2|PC7016|PC9016,EN 755-9,architectural,AE-2024-042
AE-2024-043,U-Channel 50x30x4,EN AW-6060,3.3206,T66,30.0,50.0,4.0,channel,1.10,6000|6500,M|AE2|PC7016,EN 755-9,architectural,AE-2024-043
AE-2024-044,U-Channel 80x40x5,EN AW-6082,3.2315,T6,40.0,80.0,5.0,channel,2.03,5000|6000,M|PC7016|PC9005,EN 755-9,structural,AE-2024-044
AE-2024-050,Round Tube OD20x2,EN AW-6060,3.3206,T66,20.0,20.0,2.0,tube_round,0.31,6000|6500,M|AE2,EN 755-8,architectural,AE-2024-050
AE-2024-051,Round Tube OD30x2.5,EN AW-6060,3.3206,T66,30.0,30.0,2.5,tube_round,0.58,6000|6500,M|AE2|PC7016,EN 755-8,architectural,AE-2024-051
AE-2024-052,Round Tube OD40x3,EN AW-6060,3.3206,T66,40.0,40.0,3.0,tube_round,0.94,6000|6500,M|AE2|PC7016|PC9016,EN 755-8,architectural,AE-2024-052
AE-2024-053,Round Tube OD50x3,EN AW-6082,3.2315,T6,50.0,50.0,3.0,tube_round,1.20,5000|6000,M|PC7016|PC9005,EN 755-8,structural,AE-2024-053
AE-2024-060,Rectangular Tube 30x20x2,EN AW-6060,3.3206,T66,30.0,20.0,2.0,tube_rect,0.50,6000|6500,M|AE2,EN 755-8,architectural,AE-2024-060
AE-2024-061,Rectangular Tube 40x30x2.5,EN AW-6060,3.3206,T66,40.0,30.0,2.5,tube_rect,0.88,6000|6500,M|AE2|PC7016,EN 755-8,architectural,AE-2024-061
AE-2024-062,Rectangular Tube 50x30x3,EN AW-6060,3.3206,T66,50.0,30.0,3.0,tube_rect,1.20,6000|6500,M|AE2|PC7016|PC9016,EN 755-8,architectural,AE-2024-062
AE-2024-063,Rectangular Tube 60x40x3,EN AW-6082,3.2315,T6,60.0,40.0,3.0,tube_rect,1.52,5000|6000,M|PC7016|PC9005,EN 755-8,structural,AE-2024-063
AE-2024-064,Rectangular Tube 80x40x4,EN AW-6082,3.2315,T6,80.0,40.0,4.0,tube_rect,2.42,5000|6000,M|PC7016|PC9005,EN 755-8,structural,AE-2024-064
AE-2024-070,T-Slot Profile 20x20 Nut 5,EN AW-6060,3.3206,T66,20.0,20.0,2.0,tslot,0.38,6000,M|AE2,DIN EN 12020-2,framing,AE-2024-070
AE-2024-071,T-Slot Profile 40x40 Nut 8,EN AW-6060,3.3206,T66,40.0,40.0,2.5,tslot,1.45,6000,M|AE2,DIN EN 12020-2,framing,AE-2024-071
AE-2024-072,T-Slot Profile 40x80 Nut 8,EN AW-6060,3.3206,T66,80.0,40.0,2.5,tslot,2.80,6000,M|AE2,DIN EN 12020-2,framing,AE-2024-072
AE-2024-073,T-Slot Profile 80x80 Nut 10,EN AW-6082,3.2315,T6,80.0,80.0,3.0,tslot,5.60,5000|6000,M|AE2,DIN EN 12020-2,framing,AE-2024-073
AE-2024-074,T-Slot Profile 45x45 Nut 10,EN AW-6060,3.3206,T66,45.0,45.0,2.5,tslot,1.70,6000,M|AE2,DIN EN 12020-2,framing,AE-2024-074
AE-2024-080,Flat Bar 20x5,EN AW-6060,3.3206,T66,20.0,5.0,5.0,flat_bar,0.27,6000,M|AE2,EN 755-9,industrial,AE-2024-080
AE-2024-081,Flat Bar 30x10,EN AW-6060,3.3206,T66,30.0,10.0,10.0,flat_bar,0.81,6000,M|AE2|PC7016,EN 755-9,industrial,AE-2024-081
AE-2024-082,Flat Bar 50x10,EN AW-6060,3.3206,T66,50.0,10.0,10.0,flat_bar,1.35,6000,M|AE2|PC7016|PC9016|PC9005,EN 755-9,industrial,AE-2024-082
AE-2024-083,Flat Bar 80x10,EN AW-6082,3.2315,T6,80.0,10.0,10.0,flat_bar,2.16,5000|6000,M|PC7016|PC9005,EN 755-9,structural,AE-2024-083
AE-2025-010,Curtain Wall Mullion 50x150,EN AW-6060,3.3206,T66,50.0,150.0,3.0,mullion,4.50,6000|6500,M|AE2|PC7016|PC9016|PC9005|PC3003,EN 13830,architectural,AE-2025-010
AE-2025-011,Curtain Wall Mullion 50x200,EN AW-6060,3.3206,T66,50.0,200.0,3.5,mullion,6.10,6000|6500,M|AE2|PC7016|PC9016|PC9005|PC3003,EN 13830,architectural,AE-2025-011
AE-2025-012,Curtain Wall Mullion 65x180,EN AW-6063,3.3221,T66,65.0,180.0,3.5,mullion,6.40,6000|6500,M|AE2|PC7016|PC9016|PC9005,EN 13830,architectural,AE-2025-012
AE-2025-020,Solar Mounting Rail 60x40x3,EN AW-6005A,3.3210,T6,60.0,40.0,3.0,solar_rail,1.35,4200|6100,M|AE2,EN 755-9,solar,AE-2025-020
AE-2025-021,Solar Clamp Profile 40x30x2.5,EN AW-6005A,3.3210,T6,40.0,30.0,2.5,solar_rail,0.92,4200|6100,M|AE2,EN 755-9,solar,AE-2025-021
AE-2025-030,Heat Sink 100x30 20 Fins,EN AW-6063,3.3221,T5,100.0,30.0,10.0,heatsink,3.20,3000|6000,M|AE2,EN 755-9,thermal,AE-2025-030
